radius,density,mass,gravity
462.884,13.04185,5.425820464498343e+21,1.69015605018244
475.742,13.039219999999998,5.889941260435778e+21,1.7368955373245447
488.6,13.036520000000001,6.379740199592681e+21,1.7836177752529019
501.458,13.03375,6.895900404734005e+21,1.830322319750678
514.316,13.030899999999999,7.439103925507297e+21,1.8770086729404232
527.174,13.027989999999999,8.010032111445237e+21,1.9236763910774353
540.032,13.025,8.609365401689309e+21,1.970325029335812
552.889,13.02194,9.237733033272991e+21,2.0169504623125833
565.747,13.01881,9.895911236890874e+21,2.063559498756488
578.605,13.015600000000001,1.0584529569467823e+22,2.11014801477918
591.463,13.01233,1.1304264555608893e+22,2.1567155665518607
604.321,13.00898,1.205579169572948e+22,2.2032617092871365
617.179,13.00556,1.2839785142248614e+22,2.249785944552008
630.037,13.00207,1.3656918254239737e+22,2.2962878280689343
642.895,12.9985,1.4507862971188064e+22,2.3427668618532302
655.753,12.99487,1.539329041839653e+22,2.3892226020232092
668.611,12.99116,1.631387058317906e+22,2.4356546038348803
681.468,12.98738,1.7270196121308034e+22,2.4820587589903074
694.326,12.98353,1.8263083367760514e+22,2.5284418417843546
707.184,12.9796,1.9293125366008448e+22,2.5747997455881144
720.042,12.975610000000001,2.0360987267761734e+22,2.621132026472962
732.9,12.971540000000001,2.1467332972942817e+22,2.667438239727007
745.758,12.9674,2.261282466563655e+22,2.7137178869386243
758.616,12.96319,2.3798123643885165e+22,2.759970523811043
771.474,12.95891,2.502388988582414e+22,2.806195705333482
784.332,12.95455,2.6290781538349574e+22,2.852392932808786
797.189,12.95012,2.7599351896458865e+22,2.898558117212161
810.047,12.945620000000002,2.895046029137724e+22,2.944697996368099
822.905,12.941049999999999,3.0344661000763495e+22,2.990808536047759
835.763,12.93641,3.1782606996964423e+22,3.0368892912786465
848.621,12.93169,3.326494922314359e+22,3.0829397633811935
861.479,12.9269,3.479233709098849e+22,3.128959454667532
874.337,12.92204,3.636541906523574e+22,3.174947921486695
887.195,12.917110000000001,3.798484208555668e+22,3.2209047195196865
900.053,12.91211,3.965125154411808e+22,3.266829403836325
912.911,12.90703,4.136529059927908e+22,3.3127214757812875
925.768,12.901879999999998,4.3127461779469e+22,3.3585768701951
