time,radius,speed,acceleration
0.0,6371.0,0.0,-9.821914294127223
16.000000000000004,6369.742794970358,-0.15715062870603555,-9.821914294127223
32.000000000000014,6365.9710065074105,-0.31434941685834933,-9.828603106110354
47.99999999999996,6359.683354640096,-0.47160706655611445,-9.828603106110354
63.9999999999999,6350.8792306167,-0.6289521564822707,-9.839533134659135
79.99999999999984,6339.556293054974,-0.7864398722671819,-9.845804229018778
95.99999999999979,6325.712977565215,-0.9439849000718286,-9.850870954163007
111.99999999999973,6309.3483076819275,-1.1015988353384372,-9.856168632889663
127.99999999999967,6290.461136731498,-1.2592975334646712,-9.861699152955104
143.9999999999999,6269.050010747336,-1.417108990321365,-9.866033154635776
160.0000000000001,6245.113121052049,-1.5750266370063923,-9.875109336290812
176.00000000000034,6218.648460679867,-1.7330778395011062,-9.884737242461608
192.00000000000057,6189.653767749097,-1.8912861089533892,-9.89492628540199
208.0000000000008,6158.126324471357,-2.049677578652644,-9.90568615016783
224.00000000000102,6124.063078165357,-2.2082622343915492,-9.916017704332242
240.00000000000125,6087.460872113837,-2.3670484297301666,-9.930382650950518
256.0000000000015,6048.316427694877,-2.5260433622802294,-9.945002764041174
272.0000000000017,6006.626234309721,-2.685270296694475,-9.959898036978363
288.00000000000193,5962.386453918522,-2.8447457766113886,-9.975087269283527
304.00000000000216,5915.593284949787,-3.0044260593919234,-9.986111981904855
320.0000000000024,5866.243983668083,-3.1642603785606584,-9.99359466477901
336.0000000000026,5814.336172956364,-3.324238145397142,-10.00253282570217
352.00000000000284,5759.867670597637,-3.4843467945345714,-10.01029432447268
368.00000000000307,5702.836458973429,-3.6445778882657134,-10.017992580137427
384.0000000000033,5643.240794193244,-3.8048598686133386,-10.011755583876194
400.0000000000035,5581.081790964651,-3.964990918007564,-10.003100374560857
416.00000000000375,5516.361890943374,-4.124969572058259,-9.99351803305898
432.000000000004,5449.083600003846,-4.284791806516385,-9.984332237026857
448.0000000000042,5379.249380349655,-4.444461189784249,-9.973966365129732
464.00000000000443,5306.861647193038,-4.603981394223953,-9.965992083373333
480.00000000000466,5231.922710795208,-4.763363375284593,-9.957374633562086
496.0000000000049,5154.434698649337,-4.922618460817196,-9.949972881275839
512.0000000000051,5074.3995066949565,-5.08176422594246,-9.943138494479218
528.0000000000042,4991.818714674365,-5.240823436953877,-9.939065058132424
544.0000000000033,4906.693454564312,-5.39982774644133,-9.936709310514972
560.0000000000024,4819.024320188318,-5.558814945389079,-9.937298032673809
576.0000000000015,4728.811211009757,-5.717833253152669,-9.941241658332695
592.0000000000006,4636.0531757316385,-5.876941070803326,-9.94898347989186
607.9999999999997,4540.748218454725,-6.036212679927931,-9.96100478480849
623.9999999999987,4442.8930576961975,-6.195732941243944,-9.980658120542612
639.9999999999978,4342.482866716402,-6.355608726045152,-10.007446259767605
655.9999999999969,4239.510977708492,-6.51596759547668,-10.042324498161406
671.999999999996,4133.968499142469,-6.676962688494993,-10.086356842334979
687.9999999999951,4025.8437989814865,-6.8387764312729304,-10.148324982577284
703.9999999999942,3915.122085664378,-7.001627950867163,-10.215952045378462
719.9999999999933,3801.784692306636,-7.1657880862991945,-10.308136375083405
735.9999999999924,3685.8083262481637,-7.331554163115057,-10.419791563456098
751.9999999999915,3567.1642822058484,-7.499313176046909,-10.558119622857294
767.9999999999906,3445.817326337113,-7.669378353037138,-10.633491475796625
783.9999999999897,3321.75764583656,-7.837375957216482,-10.346703928432396
799.9999999999887,3195.0460575957213,-8.000783761319374,-10.04731309096183
815.9999999999878,3065.7587069321835,-8.159314802232918,-9.73604110400031
831.9999999999869,2933.9751268558257,-8.312758009016026,-9.413607264731544
847.999999999986,2799.780117817242,-8.460725955842678,-9.046885312763186
863.9999999999851,2663.263012515739,-8.602959146833973,-8.703315362991322
879.9999999999842,2524.5171779741618,-8.739261353294868,-8.31505300624444
895.9999999999833,2383.6403942393295,-8.86930343468766,-7.916891635116326
911.9999999999824,2240.7338447700304,-8.992905522157068,-7.509807838781683
927.9999999999815,2095.9032039537437,-9.109782249261427,-7.094832346407282
943.9999999999806,1949.257060019832,-9.219810652289985,-6.634445566538579
959.9999999999797,1800.907681076663,-9.322670533083459,-6.206747328507427
975.9999999999787,1650.9703934768786,-9.418278526145068,-5.735807101733625
991.9999999999778,1499.5624531765513,-9.506488772817596,-5.262783799906935
1007.9999999999769,1346.8026608436212,-9.587230245867135,-4.791207711547528
1023.999999999976,1192.8111838779107,-9.660457147783827,-4.3131432583734295
1039.9999999999752,1037.7120465611092,-9.725490175662777,-3.7697389214041417
1055.9999999999743,881.6421473380619,-9.781787845682622,-3.2209047195196865
1071.9999999999734,724.743228666986,-9.829084603975339,-2.667438239727007
1087.9999999999725,567.1595757331241,-9.867346873851936,-2.11014801477918
1103.9999999999716,409.03673156142804,-9.896480756964701,-1.5030387291656966
